session,total_bytes,packet_count,avg_duration,avg_bytes_per_second,avg_packets_per_second,percentage,anomaly_class
192.168.0.35:138-192.168.0.255:138-UDP,1428,6,-9.1e-05,0.0,0.0,95.06240199679812,High Deviation
192.168.0.35:49158-142.250.187.162:443-UDP,149048,220,0.342979,108642.22007761408,160.3596721665175,63.42097481793439,Medium Deviation
192.168.0.35:49158-178.233.140.147:53-UDP,1188,12,0.012275,16130.346232179227,162.9327902240326,90.27920378542163,High Deviation
192.168.0.35:49161-178.233.140.147:53-UDP,1395,10,0.021119,13210.852786590276,94.7014536673138,91.26537244279058,High Deviation
192.168.0.35:49175-172.217.17.130:443-UDP,80694,132,0.288802,46568.237062070206,76.17675777868574,79.0918535907312,High Deviation
192.168.0.35:49183-178.233.140.147:53-UDP,1356,12,0.011825,19112.050739957715,169.13319238900633,87.51158334617101,High Deviation
192.168.0.35:49188-178.233.140.147:53-UDP,760,10,0.04232,3591.682419659735,47.25897920604915,96.65375651845318,High Deviation
192.168.0.35:49202-178.233.140.147:53-UDP,1176,8,0.01353,21729.490022172948,147.81966001478196,87.00254778902412,High Deviation
192.168.0.35:49203-178.233.140.147:53-UDP,1404,8,0.014847,23641.139624166495,134.70734828584898,88.06879727318349,High Deviation
192.168.0.35:49231-216.58.214.138:443-UDP,34335,66,0.348988,32794.8238907928,63.03941682808577,89.88910372238357,High Deviation
192.168.0.35:49250-178.233.140.147:53-UDP,1175,10,0.025340999999999995,9273.509332701946,78.92348368256975,94.03946601575686,High Deviation
192.168.0.35:49334-178.233.140.147:53-UDP,736,8,0.014592,12609.649122807017,137.06140350877192,89.86087008094952,High Deviation
192.168.0.35:49341-178.233.140.147:53-UDP,880,10,0.015331000000000001,11480.007827278065,130.4546344008871,91.22227288031664,High Deviation
192.168.0.35:49358-178.233.140.147:53-UDP,3787,14,0.013528,39991.129509166174,147.84151389710232,80.99053882329298,High Deviation
192.168.0.35:49361-178.233.140.147:53-UDP,1145,10,0.012765000000000002,17939.678809244026,156.67841754798278,88.84027626516891,High Deviation
192.168.0.35:49365-34.102.243.38:443-UDP,86529,158,10.0587698,14170.180774549113,22.301462174029638,90.20840893313047,High Deviation
192.168.0.35:49371-178.233.140.147:53-UDP,2123,18,47.710083600000004,4264.178209787145,34.5304743722595,92.86784064202793,High Deviation
192.168.0.35:49380-142.250.184.132:443-UDP,22197,45,0.19150999999999999,38635.05822150279,78.32489165056654,85.39231288727078,High Deviation
192.168.0.35:49381-178.233.140.147:53-UDP,960,10,0.025770000000000005,7450.523864959255,77.60962359332557,94.87679952373882,High Deviation
192.168.0.35:49404-142.251.140.65:443-UDP,114528,198,0.269266,70889.00938105813,122.5553913230783,71.23689931595965,High Deviation
192.168.0.35:49417-178.233.140.147:53-UDP,1530,10,0.042226,7246.7200303130785,47.364183204660634,97.14015033543178,High Deviation
192.168.0.35:49427-178.233.140.147:53-UDP,696,6,0.011277,20572.847388489845,177.3521326593952,85.39034357744369,High Deviation
192.168.0.35:49434-178.233.140.147:53-UDP,2142,14,0.010472,29220.77922077922,190.98548510313216,84.58386211686438,High Deviation
192.168.0.35:49437-178.233.140.147:53-UDP,996,12,0.021592,7688.032604668396,92.62689885142646,94.7882372239881,High Deviation
192.168.0.35:49453-178.233.140.147:53-UDP,1255,10,0.012773000000000001,19650.82596101151,156.58028654192438,88.30030095082166,High Deviation
192.168.0.35:49458-178.233.140.147:53-UDP,1750,14,0.012462,20060.98539560263,160.48788316482106,88.30030095082166,High Deviation
192.168.0.35:49468-178.233.140.147:53-UDP,1947,18,99.0259765,6094.294509489948,60.04131544228122,88.3700738988708,High Deviation
192.168.0.35:49473-178.233.140.147:53-UDP,896,8,0.016101,13912.179367741133,124.2158872119744,89.86087008094952,High Deviation
192.168.0.35:49479-178.233.140.147:53-UDP,1130,10,0.011708,19303.040655961737,170.8233686368295,87.07449255241303,High Deviation
192.168.0.35:49482-178.233.140.147:53-UDP,1000,10,0.013836999999999999,14454.000144540001,144.5400014454,91.27180305617584,High Deviation
192.168.0.35:49488-178.233.140.147:53-UDP,1680,12,0.024739,11318.161607178949,80.84401147984963,92.49189156444484,High Deviation
192.168.0.35:49497-178.233.140.147:53-UDP,594,6,0.011289,17539.197448844006,177.16361059438387,85.74061524279387,High Deviation
192.168.0.35:49521-178.233.140.147:53-UDP,1561,14,0.022321,9990.591819362931,89.60172035303079,93.66631142031187,High Deviation
192.168.0.35:49523-178.233.140.147:53-UDP,1638,12,0.066979,4075.90438794249,29.860105406172085,97.88123711283865,High Deviation
192.168.0.35:49542-178.233.140.147:53-UDP,2088,12,0.011113,31314.67650499415,179.96940520111582,84.80007121491087,High Deviation
192.168.0.35:49560-178.233.140.147:53-UDP,1674,12,0.011961,23325.808878856285,167.2100994900092,88.4045992337121,High Deviation
192.168.0.35:49570-178.233.140.147:53-UDP,1125,10,0.020352,11055.424528301888,98.27044025157234,92.50532185206355,High Deviation
192.168.0.35:49579-178.233.140.147:53-UDP,1470,12,0.01044,23467.432950191567,191.57088122605364,86.41486323980295,High Deviation
192.168.0.35:49580-142.251.140.35:443-UDP,26514,54,0.150824,58598.10109796849,119.34440142152441,78.89973808518367,High Deviation
192.168.0.35:49581-178.233.140.147:53-UDP,1170,10,0.011127,21029.92720409814,179.74296755639435,86.83422999578917,High Deviation
192.168.0.35:49585-178.233.140.147:53-UDP,920,10,0.013699,13431.637345791663,145.99605810643112,90.97739549534134,High Deviation
192.168.0.35:49599-178.233.140.147:53-UDP,615,6,0.012767,16057.022009869193,156.6538732670165,89.25467155734205,High Deviation
192.168.0.35:49604-178.233.140.147:53-UDP,1421,14,0.011579,17531.738492097764,172.7264876068745,87.14767715840632,High Deviation
192.168.0.35:49615-178.233.140.147:53-UDP,1224,12,0.013864,14714.368147720716,144.25851125216388,91.66189446798779,High Deviation
192.168.0.35:49620-178.233.140.147:53-UDP,1211,14,0.010607,16309.983972848118,188.55472800980485,86.96835053591823,High Deviation
192.168.0.35:49630-178.233.140.147:53-UDP,952,8,0.011895,20008.406893652795,168.13787305590586,87.19741213588534,High Deviation
192.168.0.35:49644-142.251.141.35:443-UDP,56174,183,52.06573433333333,376.39376748725954,1.2116283934771181,92.86150563543875,High Deviation
192.168.0.35:49652-178.233.140.147:53-UDP,705,6,0.012988,18093.62488450878,153.9882968894364,87.43409821943757,High Deviation
192.168.0.35:49664-178.233.140.147:53-UDP,1145,10,0.013745000000000002,16660.60385594762,145.50745725718443,90.38582085241009,High Deviation
192.168.0.35:49670-178.233.140.147:53-UDP,1374,12,0.01262,18145.80031695721,158.4786053882726,88.6375479189395,High Deviation
192.168.0.35:49708-178.233.140.147:53-UDP,2786,14,0.01321,30128.69038607116,151.4004542013626,86.61830339358538,High Deviation
192.168.0.35:49731-178.233.140.147:53-UDP,1488,12,0.016761,14796.253206849235,119.32462263588089,91.86770395220435,High Deviation
192.168.0.35:49737-142.251.140.35:443-UDP,69835,110,0.151055,92463.01016186157,145.64231571281985,65.30993549444598,Medium Deviation
192.168.0.35:49750-142.250.187.130:443-UDP,42992,108,0.191429,56146.14295639637,141.0444603482231,79.15652729738494,High Deviation
192.168.0.35:49770-74.125.128.84:443-UDP,129563,196,0.25663,72123.29034017846,109.10649573315668,70.73535326509656,High Deviation
192.168.0.35:49775-172.217.17.130:443-UDP,496072,2271,121.9685808,3258.583254617516,12.748860737396416,54.7290077127588,Medium Deviation
192.168.0.35:49784-35.190.80.1:443-UDP,53965,75,0.10667299999999999,101178.36753442764,140.61665088635363,66.9850710687237,Medium Deviation
192.168.0.35:49814-172.217.17.129:443-UDP,263526,444,29.855618833333335,1573.1142461815355,2.608776984413955,85.55456946052949,High Deviation
192.168.0.35:49816-142.251.140.67:443-UDP,44376,90,0.146682,50422.00133622394,102.26203624166563,82.18757645888147,High Deviation
192.168.0.35:49840-216.58.213.104:443-UDP,3187670,3105,0.9468479999999999,673322.4340126398,655.8602859170637,11.737196937922237,Low Deviation
192.168.0.35:49841-178.233.140.147:53-UDP,1463,14,0.011846,17643.08627384771,168.8333614722269,87.78992501221892,High Deviation
192.168.0.35:49864-178.233.140.147:53-UDP,1248,12,0.0102,20392.156862745098,196.07843137254903,86.72775493822647,High Deviation
192.168.0.35:49865-178.233.140.147:53-UDP,1270,10,0.015849,16026.247712789453,126.19092687235789,91.2949654245343,High Deviation
192.168.0.35:49871-178.233.140.147:53-UDP,1145,10,0.016077,14243.950985880449,124.40131865397773,91.51568837204941,High Deviation
192.168.0.35:49880-178.233.140.147:53-UDP,3594,12,0.017508,34212.93123143706,114.23349326022391,86.61734826101835,High Deviation
192.168.0.35:49896-142.251.141.35:443-UDP,62204,128,0.853465,18221.016679067096,37.494214759831976,90.86185061891487,High Deviation
192.168.0.35:49904-178.233.140.147:53-UDP,2045,20,96.341317,4.245322907512256,0.04151905044021767,91.66463019797816,High Deviation
192.168.0.35:49905-178.233.140.147:53-UDP,2528,20,76.67264066666667,9431.080482050014,59.69617972910685,87.6657696071555,High Deviation
192.168.0.35:49923-142.250.187.174:443-UDP,137732,343,40.582318,484.8416987910843,1.2074224049991427,91.08887893706381,High Deviation
192.168.0.35:49927-178.233.140.147:53-UDP,1150,10,0.01774,12965.050732807216,112.73957158962796,91.90005603522292,High Deviation
192.168.0.35:49947-178.233.140.147:53-UDP,3122,14,0.043447,10265.380808801527,46.03309779731627,96.53454682965751,High Deviation
192.168.0.35:49949-178.233.140.147:53-UDP,2244,8,0.025216,22247.77918781726,79.31472081218274,89.10382786889845,High Deviation
192.168.0.35:49962-178.233.140.147:53-UDP,1200,10,0.020781,11549.011115923198,96.24175929935998,91.46099860339308,High Deviation
192.168.0.35:49967-178.233.140.147:53-UDP,1335,10,0.01056,25284.090909090908,189.3939393939394,85.52949760393115,High Deviation
192.168.0.35:50060-178.233.140.147:53-UDP,3550,30,347.99948514285717,2558.4324549751705,19.09389611673191,83.66930281834183,High Deviation
192.168.0.35:50060-216.239.36.181:443-UDP,50160,100,0.219922,45616.17300679332,90.94133374560072,81.22240047736793,High Deviation
192.168.0.35:50061-178.233.140.147:53-UDP,3102,20,87.50139233333334,5652.261331816172,39.94286868207474,89.64104959437142,High Deviation
192.168.0.35:50072-178.233.140.147:53-UDP,1358,14,0.008742,22191.71814230153,228.78059940517045,84.6098724475572,High Deviation
192.168.0.35:50079-178.233.140.147:53-UDP,1275,10,0.010548,24175.19908987486,189.60940462646948,86.41486323980295,High Deviation
192.168.0.35:50109-178.233.140.147:53-UDP,1519,14,0.013226,16407.07696960532,151.21729925903523,89.55893843951058,High Deviation
192.168.0.35:50119-178.233.140.147:53-UDP,1536,12,0.010909,23466.862223851862,183.33486112384267,86.5193016365579,High Deviation
192.168.0.35:50149-178.233.140.147:53-UDP,1080,12,0.008974,20057.945174949855,222.86605749944286,84.93007668565872,High Deviation
192.168.0.35:50166-178.233.140.147:53-UDP,2478,14,0.010781,32835.54401261478,185.51154809386884,84.58386211686438,High Deviation
192.168.0.35:50169-178.233.140.147:53-UDP,965,10,0.014485000000000001,13324.128408698652,138.0738695201933,91.22227288031664,High Deviation
192.168.0.35:50170-178.233.140.147:53-UDP,1068,12,0.014999,11867.457830522035,133.34222281485432,91.22227288031664,High Deviation
192.168.0.35:50170-216.58.212.2:443-UDP,251400,320,0.550909,91267.34179329073,116.17163633195318,60.60456423709564,Medium Deviation
192.168.0.35:50172-178.233.140.147:53-UDP,830,10,0.020222,8208.881416279299,98.90218573830481,93.65428461435064,High Deviation
192.168.0.35:50177-172.67.70.76:443-UDP,80024,158,29.757114,12093.070017204253,21.09759617009002,87.52428179847789,High Deviation
192.168.0.35:50178-178.233.140.147:53-UDP,1000,8,0.014494,17248.51662757003,137.98813302056024,88.61043165770482,High Deviation
192.168.0.35:50185-178.233.140.147:53-UDP,880,10,0.012846,13700.762883387823,155.6904873112253,90.3558112377842,High Deviation
192.168.0.35:50201-178.233.140.147:53-UDP,1792,14,0.011758,21772.410273856098,170.09695526450076,87.16927400716158,High Deviation
192.168.0.35:50205-178.233.140.147:53-UDP,1158,12,0.014228,13564.80179926905,140.5678942929435,91.22227288031664,High Deviation
192.168.0.35:50214-178.233.140.147:53-UDP,950,10,0.012743,14910.146747233774,156.94891312877658,90.62725904558354,High Deviation
192.168.0.35:50235-178.233.140.147:53-UDP,1164,12,0.011783,16464.397861325637,169.7360604260375,87.99494421735861,High Deviation
192.168.0.35:50239-172.217.20.74:443-UDP,78108,206,11.309591399999999,2527.899981667494,6.121826140970502,95.43205082457598,High Deviation
192.168.0.35:50245-142.250.187.129:443-UDP,85100,130,0.21553399999999998,78966.65955255319,120.63061976300723,71.42871495141357,High Deviation
192.168.0.35:50269-178.233.140.147:53-UDP,412,4,0.011161,18457.12749753606,179.1954125974375,85.63512243568468,High Deviation
192.168.0.35:50273-178.233.140.147:53-UDP,996,12,0.018005,9219.661205220771,111.08025548458761,93.27029492826043,High Deviation
192.168.0.35:50303-178.233.140.147:53-UDP,908,8,0.012674,17910.68328862238,157.80337699226763,87.43409821943757,High Deviation
192.168.0.35:50306-178.233.140.147:53-UDP,1407,14,0.028503,7051.8892748131775,70.16805248570326,95.07880354582724,High Deviation
192.168.0.35:50318-3.160.57.88:443-UDP,38444,60,0.07533,127585.29138457455,199.12385503783355,58.07018557227098,Medium Deviation
192.168.0.35:50319-178.233.140.147:53-UDP,1296,12,0.007506,28776.97841726619,266.4535038635758,83.49324259474493,High Deviation
192.168.0.35:50323-178.233.140.147:53-UDP,1404,12,0.012865,18188.884570540227,155.4605518849592,88.6375479189395,High Deviation
192.168.0.35:50335-178.233.140.147:53-UDP,1125,10,0.020065,11213.55594318465,99.676052828308,92.50532185206355,High Deviation
192.168.0.35:50365-178.233.140.147:53-UDP,1180,10,0.031083,7592.574719299939,64.34385355338931,95.49362207648092,High Deviation
192.168.0.35:50373-178.233.140.147:53-UDP,3367,28,4.95702,97.03410516802434,0.8069364255137159,97.78301845092003,High Deviation
192.168.0.35:50381-178.233.140.147:53-UDP,1687,14,0.011823,20383.997293411147,169.1618032648228,87.16927400716158,High Deviation
192.168.0.35:50383-178.233.140.147:53-UDP,2135,14,0.011395,26766.12549363756,175.5155770074594,84.89088559320102,High Deviation
192.168.0.35:50385-178.233.140.147:53-UDP,166,2,0.014234,11662.21722635942,140.5086412814388,89.02505316793302,High Deviation
192.168.0.35:50391-178.233.140.147:53-UDP,1374,12,0.021322999999999998,10739.576982600947,93.79543216245368,92.64773257998424,High Deviation
192.168.0.35:50394-178.233.140.147:53-UDP,657,6,0.011453,19121.627521173494,174.62673535318257,85.63512243568468,High Deviation
192.168.0.35:50395-178.233.140.147:53-UDP,1236,12,0.012564,16396.052212671122,159.18497293855458,89.75917655610229,High Deviation
192.168.0.35:50397-142.251.141.35:443-UDP,41032,92,0.220331,46557.225265623085,104.388397456554,82.84627478119859,High Deviation
192.168.0.35:50400-142.251.140.46:443-UDP,40604,88,0.230071,44121.1625976329,95.6226556150058,82.70854093285587,High Deviation
192.168.0.35:50433-178.233.140.147:53-UDP,985,10,0.012137,16231.358655351407,164.78536705940513,90.27920378542163,High Deviation
192.168.0.35:50447-178.233.140.147:53-UDP,1484,14,0.011741,18056.383612980157,170.34324163188825,87.51158334617101,High Deviation
192.168.0.35:50452-178.233.140.147:53-UDP,2736,18,56.167032600000006,4431.313920916753,35.72482375767123,91.77800134862163,High Deviation
192.168.0.35:50456-104.22.13.86:443-UDP,60156,120,0.277254,36161.786664935404,72.13601967870616,83.06146388456871,High Deviation
192.168.0.35:50465-142.250.184.142:443-UDP,101969,182,0.293209,49681.285363000454,88.67394929896422,79.07615873319642,High Deviation
192.168.0.35:50467-178.233.140.147:53-UDP,1818,14,116.3342905,4071.2401543880615,32.31073903034982,89.10874720382547,High Deviation
192.168.0.35:50469-46.196.235.228:53-UDP,1918,14,0.035615,7693.387617576863,56.156113996911415,97.12737973350505,High Deviation
192.168.0.35:50472-172.217.17.130:443-UDP,286944,597,30.335664333333337,1639.8216642372972,3.4152672742694716,83.52909379420042,High Deviation
192.168.0.35:50480-178.233.140.147:53-UDP,597,6,0.016009,12430.507839340373,124.92972702854645,89.86087008094952,High Deviation
192.168.0.35:50486-178.233.140.147:53-UDP,1490,10,0.042659,6985.63023043203,46.88342436531564,97.53705572096355,High Deviation
192.168.0.35:50499-178.233.140.147:53-UDP,1104,12,0.01603,11478.477854023708,124.76606363069247,91.22227288031664,High Deviation
192.168.0.35:50534-178.233.140.147:53-UDP,1830,12,0.016375,18625.954198473282,122.13740458015268,89.58715711075959,High Deviation
192.168.0.35:50557-178.233.140.147:53-UDP,988,8,0.01191,20738.874895046178,167.9261125104954,87.19741213588534,High Deviation
192.168.0.35:50589-178.233.140.147:53-UDP,1155,14,0.008959,18417.234066302044,223.23920080366113,85.17629520292083,High Deviation
192.168.0.35:50590-178.233.140.147:53-UDP,498,6,0.013245,12533.03133257833,151.00037750094376,88.8770123103564,High Deviation
192.168.0.35:50598-178.233.140.147:53-UDP,1230,10,0.011372,21632.078790010553,175.87055926837846,86.7302180399294,High Deviation
192.168.0.35:50602-104.26.15.186:443-UDP,130744,210,9.549729199999998,19594.515586774385,31.430491330204767,87.66875216765385,High Deviation
192.168.0.35:50618-142.251.140.3:443-UDP,69810,120,7.998392,2909.3347762900344,5.0010052020456115,94.31394383194262,High Deviation
192.168.0.35:50629-178.233.140.147:53-UDP,209,2,0.014419,14494.763853249186,138.7058741937721,89.3273702321265,High Deviation
192.168.0.35:50630-178.233.140.147:53-UDP,1673,14,0.015558,15361.87170587479,128.5512276642242,91.2949654245343,High Deviation
192.168.0.35:50644-142.250.184.132:443-UDP,72044,140,0.266195,38663.3858637465,75.13289130148951,80.86748216666058,High Deviation
192.168.0.35:50647-178.233.140.147:53-UDP,1320,12,0.017219,12776.584006039839,116.15076369127127,91.18516198752518,High Deviation
192.168.0.35:50653-178.233.140.147:53-UDP,1254,12,0.010514,19878.257561346774,190.22256039566295,86.41486323980295,High Deviation
192.168.0.35:50674-142.250.187.131:443-UDP,1748572,1967,9.664572000000001,25846.566200758814,29.075265826567385,43.67016849346456,Medium Deviation
192.168.0.35:50685-178.233.140.147:53-UDP,1525,10,0.018319,16649.38042469567,109.17626507997163,89.99542184610867,High Deviation
192.168.0.35:50688-178.233.140.147:53-UDP,1152,12,0.013524,14196.98314108252,147.88524105294292,90.56797948395663,High Deviation
192.168.0.35:50691-178.233.140.147:53-UDP,1365,14,0.009643,20221.922638183136,207.40433475059626,86.26768491630243,High Deviation
192.168.0.35:50704-178.233.140.147:53-UDP,2190,10,0.015279999999999998,28664.921465968586,130.89005235602093,87.98243736107908,High Deviation
192.168.0.35:50708-142.250.187.162:443-UDP,105034,389,30.054544999999997,2745.9340764742096,8.838158255899195,93.80281271222522,High Deviation
192.168.0.35:50709-178.233.140.147:53-UDP,960,8,0.015656,15329.586101175268,127.74655084312724,90.13415098491394,High Deviation
192.168.0.35:50716-178.233.140.147:53-UDP,920,10,0.00903,20376.5227021041,221.483942414175,84.93007668565872,High Deviation
192.168.0.35:50724-178.233.140.147:53-UDP,1308,12,0.012253,17791.561250306047,163.22533257161513,89.41809513935631,High Deviation
192.168.0.35:50735-178.233.140.147:53-UDP,1700,10,0.014193,23955.471006834352,140.91453533431974,89.21244000077785,High Deviation
192.168.0.35:50741-34.102.243.38:443-UDP,110600,214,9.971181,16142.494080735643,26.96028062901731,88.73764268294127,High Deviation
192.168.0.35:50763-178.233.140.147:53-UDP,642,6,0.010656,20082.58258258258,187.68768768768768,85.28186706996134,High Deviation
192.168.0.35:50765-178.233.140.147:53-UDP,1452,8,0.014507,25022.40297787275,137.86447921692974,87.39430621246208,High Deviation
192.168.0.35:50800-178.233.140.147:53-UDP,1610,14,0.013013,17674.633059248445,153.69246138476908,88.91177322417705,High Deviation
192.168.0.35:50828-46.196.235.228:53-UDP,1638,12,0.019819,13774.660679146275,100.91326504869066,91.47078234444942,High Deviation
