session,total_bytes,packet_count,avg_duration,avg_bytes_per_second,avg_packets_per_second,percentage
192.168.1.25:50699-192.168.1.1:53-TCP,10824,164,0.0,0.0,0.0,98.44205131548996
192.168.1.25:62510-192.168.1.1:53-TCP,21632,286,0.294054,2829.4122848184347,37.408095111782195,98.44011927989693
192.168.1.25:62458-192.168.1.1:53-TCP,21840,286,0.293452,2862.478361026676,37.48483568011123,98.44011927989693
192.168.1.25:62689-192.168.1.1:53-TCP,20472,288,1.1786050000000001,723.7369602199209,10.181528162531126,98.43809552132696
192.168.1.25:62683-192.168.1.1:53-TCP,20208,288,1.063688,791.5855025157754,11.28150359879965,98.43809552132696
192.168.1.25:62877-192.168.1.1:53-TCP,13088,192,0.11858,6898.296508686119,101.19750379490638,98.42576190841493
192.168.1.25:62682-192.168.1.1:53-TCP,21624,288,1.115554,807.6704489428571,10.756987111336608,98.41615714261953
192.168.1.25:62839-192.168.1.1:53-TCP,15066,216,0.11570600000000002,7233.851312810053,103.71112993276061,98.4116341931995
192.168.1.25:62320-192.168.1.1:53-TCP,19602,297,0.214396,3386.257206291162,51.30692736804791,98.40017012383065
192.168.1.25:62323-192.168.1.1:53-TCP,20439,297,0.3992,1896.2925851703408,27.55511022044088,98.37047653808717
192.168.1.25:62512-192.168.1.1:53-TCP,18304,286,1.091741,644.8415878857714,10.075649810715179,98.36436806833865
192.168.1.25:62840-192.168.1.1:53-TCP,14400,216,0.127009,6298.766229164862,94.48149343747292,98.35734494578793
192.168.1.25:52179-192.168.1.1:53-TCP,10692,162,0.0,0.0,0.0,98.33061553575867
192.168.1.25:52393-192.168.1.1:53-TCP,10692,162,0.0,0.0,0.0,98.33061553575867
192.168.1.25:52394-192.168.1.1:53-TCP,10692,162,0.0,0.0,0.0,98.33061553575867
192.168.1.25:52178-192.168.1.1:53-TCP,10692,162,0.0,0.0,0.0,98.33061553575867
192.168.1.25:51306-192.168.1.1:53-TCP,10758,163,0.0,0.0,0.0,98.33061553575867
192.168.1.25:52180-192.168.1.1:53-TCP,10692,162,0.0,0.0,0.0,98.33061553575867
192.168.1.25:52395-192.168.1.1:53-TCP,10692,162,0.0,0.0,0.0,98.33061553575867
192.168.1.25:51902-192.168.1.1:53-TCP,10758,163,0.0,0.0,0.0,98.33061553575867
192.168.1.25:51299-192.168.1.1:53-TCP,10758,163,0.0,0.0,0.0,98.33061553575867
192.168.1.25:51300-192.168.1.1:53-TCP,10758,163,0.0,0.0,0.0,98.33061553575867
192.168.1.25:51782-192.168.1.1:53-TCP,10758,163,0.0,0.0,0.0,98.33061553575867
192.168.1.25:51781-192.168.1.1:53-TCP,10758,163,0.0,0.0,0.0,98.33061553575867
192.168.1.25:51901-192.168.1.1:53-TCP,10758,163,0.0,0.0,0.0,98.33061553575867
192.168.1.25:51298-192.168.1.1:53-TCP,10758,163,0.0,0.0,0.0,98.33061553575867
192.168.1.25:51903-192.168.1.1:53-TCP,10758,163,0.0,0.0,0.0,98.33061553575867
192.168.1.25:62790-192.168.1.1:53-TCP,18515,276,0.13394,6010.153800209047,89.59235478572495,98.322752445649
192.168.1.25:62791-192.168.1.1:53-TCP,19366,276,0.133955,6285.6929565899,89.5823224217088,98.322752445649
192.168.1.25:62325-192.168.1.1:53-TCP,14094,216,0.485653,1074.8415020601128,16.472666698239276,98.31154538495277
192.168.1.25:55317-192.168.1.1:53-TCP,10362,157,0.0,0.0,0.0,98.30812319082192
192.168.1.25:62684-192.168.1.1:53-TCP,21624,288,1.1616900000000001,775.5941774483725,10.32977816801384,98.30552974883372
192.168.1.25:62688-192.168.1.1:53-TCP,21240,288,1.152723,767.7473252463948,10.41013322367993,98.30552974883372
192.168.1.25:62690-192.168.1.1:53-TCP,21048,288,1.249012,702.1549832987994,9.607593842172854,98.30552974883372
192.168.1.25:62454-192.168.1.1:53-TCP,18772,286,0.133362,5413.83602525457,82.48226631274275,98.29710419780436
192.168.1.25:62379-192.168.1.1:53-TCP,20466,297,0.171105,4430.028345168172,64.28801028608164,98.28732689160138
192.168.1.25:62144-192.168.1.1:53-TCP,11748,178,0.0,0.0,0.0,98.28047034162998
192.168.1.25:62780-148.251.40.113:443-TCP,11748,178,0.0,0.0,0.0,98.28047034162998
192.168.1.25:62546-192.168.1.1:53-TCP,11748,178,0.0,0.0,0.0,98.28047034162998
192.168.1.25:62739-192.168.1.1:53-TCP,11748,178,0.0,0.0,0.0,98.28047034162998
192.168.1.25:62143-192.168.1.1:53-TCP,11748,178,0.0,0.0,0.0,98.28047034162998
192.168.1.25:62148-192.168.1.1:53-TCP,11748,178,0.0,0.0,0.0,98.28047034162998
192.168.1.25:62738-192.168.1.1:53-TCP,11748,178,0.0,0.0,0.0,98.28047034162998
192.168.1.25:62414-192.168.1.1:53-TCP,11748,178,0.0,0.0,0.0,98.28047034162998
192.168.1.25:62685-192.168.1.1:53-TCP,19656,288,1.285307,637.2018513864781,9.33629086280554,98.27258058717126
192.168.1.25:62649-192.168.1.1:53-TCP,18720,288,1.195074,652.6792483143304,10.041219204835851,98.27258058717126
192.168.1.25:62825-192.168.1.1:53-TCP,14094,216,0.088163,8881.276726064221,136.1115207059651,98.26245165941866
192.168.1.25:62341-192.168.1.1:53-TCP,22950,297,0.196572,4324.115336874021,55.9591396536638,98.2321836426667
192.168.1.25:62455-192.168.1.1:53-TCP,19006,286,0.131912,5541.573169992116,83.38892595063375,98.23094654763284
192.168.1.25:62354-192.168.1.1:53-TCP,20736,297,0.18424,4168.475900998697,59.704732957012595,98.2218377142206
192.168.1.25:62345-192.168.1.1:53-TCP,19710,297,0.192332,3795.520246240875,57.19277083376661,98.20459660222129
192.168.1.25:62347-192.168.1.1:53-TCP,19710,297,0.207718,3514.380072983564,52.95641205865645,98.1815367712379
192.168.1.25:63770-192.168.1.1:53-UDP,9588,102,0.032692,5750.642358986908,61.177046372201154,98.17575372749587
192.168.1.25:62386-192.168.1.1:53-TCP,22518,297,1.164172,716.3889871943321,9.448775610476803,98.15963246306096
192.168.1.25:62463-192.168.1.1:53-TCP,18980,286,0.12263700000000001,5952.526562130515,89.69560573073379,98.15958430930274
192.168.1.25:62349-192.168.1.1:53-TCP,22788,297,0.172721,4886.493246333682,63.68652335269017,98.13893153682089
192.168.1.33:64373-239.255.255.250:1900-UDP,23881,167,0.0,0.0,0.0,98.08909631077053
192.168.1.25:60972-151.101.130.137:443-TCP,9504,144,1.114656,177.63327878735677,2.6914133149599517,98.0821838644942
192.168.1.25:61018-151.101.130.137:443-TCP,9504,144,1.083853,182.6815998110445,2.767903027440068,98.0821838644942
192.168.1.25:58828-192.168.1.1:53-TCP,22185,357,0.147569,2947.7735838827944,47.43543698202197,98.07376610265358
192.168.1.25:62747-192.168.1.1:53-TCP,19392,288,0.129883,6220.983500535097,92.39084406735293,98.06749425969818
192.168.1.25:59616-192.168.1.1:53-TCP,9900,150,1.047792,188.96880296852808,2.863163681341335,98.05902661585078
192.168.1.25:59617-192.168.1.1:53-TCP,9900,150,1.0474890000000001,189.023464685548,2.86399188917497,98.05902661585078
192.168.1.25:62824-192.168.1.1:53-TCP,13896,216,0.113651,6792.725097007506,105.58640047161926,98.03802179508997
192.168.1.25:62324-192.168.1.1:53-TCP,20115,297,0.436944,1705.0239847669266,25.17485078179355,98.0017397598469
192.168.1.25:59431-192.168.1.1:53-TCP,21700,350,0.13735,3159.810702584638,50.96468875136512,97.99255721534385
192.168.1.25:62464-192.168.1.1:53-TCP,19968,286,0.111173,6908.1521592473,98.94488769755247,97.98835155430264
192.168.1.25:60144-192.168.1.1:53-TCP,21217,343,0.177134,2444.4770625628053,39.51810493750494,97.97242476333352
192.168.1.25:59724-192.168.1.1:53-TCP,9900,150,0.998688,198.2601172738633,3.003941170816111,97.93709631309149
192.168.1.25:59787-192.168.1.1:53-TCP,9900,150,0.995602,198.8746507138395,3.0132522835430224,97.93709631309149
192.168.1.25:59886-192.168.1.1:53-TCP,9900,150,1.007942,196.43987451658927,2.9763617350998373,97.93709631309149
192.168.1.25:59605-192.168.1.1:53-TCP,9900,150,1.000115,197.97723261824888,2.999655039670438,97.93709631309149
192.168.1.25:59867-192.168.1.1:53-TCP,9900,150,0.999416,198.115699568548,3.0017530237658794,97.93709631309149
192.168.1.25:59788-192.168.1.1:53-TCP,9900,150,0.995432,198.90861455127023,3.0137668871404575,97.93709631309149
192.168.1.25:59643-192.168.1.1:53-TCP,9900,150,0.995766,198.84189659016275,3.0127560089418597,97.93709631309149
192.168.1.25:59751-192.168.1.1:53-TCP,9900,150,0.9980449999999998,198.3878482433157,3.0058764885350864,97.93709631309149
192.168.1.25:59927-192.168.1.1:53-TCP,9900,150,0.998185,198.36002344254823,3.0054549006446702,97.93709631309149
192.168.1.25:59716-192.168.1.1:53-TCP,9900,150,0.996414,198.71258332379915,3.01079671702726,97.93709631309149
192.168.1.25:59654-192.168.1.1:53-TCP,9900,150,0.991817,199.6336017632285,3.0247515418670985,97.93709631309149
192.168.1.25:59743-192.168.1.1:53-TCP,9900,150,0.993978,199.199579869977,3.0181754525754085,97.93709631309149
192.168.1.25:59673-192.168.1.1:53-TCP,9900,150,0.995236,198.9477872584995,3.014360413007568,97.93709631309149
192.168.1.25:59707-192.168.1.1:53-TCP,9900,150,1.002049,197.59512758358125,2.993865569448201,97.93709631309149
192.168.1.25:59935-192.168.1.1:53-TCP,9900,150,0.9958930000000001,198.81653952784083,3.0123718110278914,97.93709631309149
192.168.1.25:59963-192.168.1.1:53-TCP,9702,147,0.9978980000000001,198.41707268678763,3.0063192831331467,97.93709631309149
192.168.1.25:59565-192.168.1.1:53-TCP,9900,150,1.002078,197.58940920766648,2.993778927388886,97.93709631309149
192.168.1.25:59601-192.168.1.1:53-TCP,9900,150,0.9959649999999999,198.80216674280723,3.0121540415576855,97.93709631309149
192.168.1.25:60208-192.168.1.1:53-TCP,9702,147,0.9989499999999999,198.20811852445067,3.003153310976525,97.93709631309149
192.168.1.25:60231-192.168.1.1:53-TCP,9702,147,0.994102,199.17473257271385,3.0177989783744525,97.93709631309149
192.168.1.25:60227-192.168.1.1:53-TCP,9702,147,1.004076,197.19622817396294,2.9878216389994385,97.93709631309149
192.168.1.25:60212-192.168.1.1:53-TCP,9702,147,0.9982370000000002,198.3496905043592,3.005298340975139,97.93709631309149
192.168.1.25:60199-192.168.1.1:53-TCP,9702,147,1.001407,197.7218054197744,2.995784930602642,97.93709631309149
192.168.1.25:62648-192.168.1.1:53-TCP,21408,312,1.236525,721.3764380016578,10.513333737692323,97.92383592654583
192.168.1.25:62686-192.168.1.1:53-TCP,22224,312,1.278726,724.1582637719106,10.166368713860514,97.92383592654583
192.168.1.25:62687-192.168.1.1:53-TCP,20952,312,1.218304,716.5699201512922,10.670571548644673,97.92383592654583
192.168.1.25:62511-192.168.1.1:53-TCP,22100,312,1.079529,787.3804223879118,11.115958904299932,97.92383592654583
192.168.1.25:62353-192.168.1.1:53-TCP,19548,297,0.16442,4403.357255808295,66.9018367595183,97.91747472905581
192.168.1.25:62357-192.168.1.1:53-TCP,19359,297,0.14888,4815.959161740999,73.88500806018268,97.9111458291372
192.168.1.25:62898-192.168.1.1:53-TCP,9528,144,0.086418,9187.90066884214,138.85995973061168,97.9062316177825
192.168.1.25:58831-192.168.1.1:53-TCP,22491,357,0.18096299999999998,2436.9622519520562,38.6819405071755,97.89123487234242
192.168.1.25:58832-192.168.1.1:53-TCP,22491,357,0.180137,2448.136695959187,38.859312634272804,97.89123487234242
192.168.1.25:59435-192.168.1.1:53-TCP,21950,350,0.186247,2357.0849463347063,37.584498005337,97.88307992625236
192.168.1.25:59824-192.168.1.1:53-TCP,21350,350,0.185243,2305.080353913508,37.78820252317227,97.88307992625236
192.168.1.25:58893-192.168.1.1:53-TCP,22134,357,0.18889900000000004,2297.524073711348,37.05683989857013,97.88307992625236
