hour,minute,second,size,source_port,destination_port,ttl,protocol_TCP,protocol_UDP,SYN,ACK,FIN
0.0,0.0,0.288135593220339,0.007069408740359894,0.9030076002662414,0.006036871352723557,0.003784583924674572,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.014138817480719792,0.006036871352723557,0.9030076002662414,0.24996566405713505,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.2711864406779661,0.007712082262210793,0.9087503676299861,0.43559896599229136,1.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,0.2711864406779661,0.0,0.43559896599229136,0.9087503676299861,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.007712082262210793,0.9087813259446155,0.9087658467873008,1.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,0.288135593220339,0.007712082262210793,0.9087658467873008,0.9087813259446155,1.0,1.0,0.0,1.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.9087813259446155,0.9087658467873008,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.007712082262210793,0.9088122842592448,0.9087968051019301,1.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.288135593220339,0.007712082262210793,0.9087968051019301,0.9088122842592448,1.0,1.0,0.0,1.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.9088122842592448,0.9087968051019301,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.7684472857297647,0.7684627648870794,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.7684627648870794,0.7684472857297647,0.01475682522242061,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.9087813259446155,0.9087658467873008,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.9087658467873008,0.9087813259446155,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.7684472857297647,0.7684627648870794,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.7684627648870794,0.7684472857297647,0.01475682522242061,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.7684472857297647,0.7684627648870794,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.7684627648870794,0.7684472857297647,0.01475682522242061,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.9088122842592448,0.9087968051019301,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.9087968051019301,0.9088122842592448,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.9087813259446155,0.9087658467873008,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.9087658467873008,0.9087813259446155,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.7684472857297647,0.7684627648870794,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.7684627648870794,0.7684472857297647,0.01475682522242061,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.7684472857297647,0.7684627648870794,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.7684627648870794,0.7684472857297647,0.01475682522242061,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.9088122842592448,0.9087968051019301,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.9087968051019301,0.9088122842592448,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.9087813259446155,0.9087658467873008,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.9087658467873008,0.9087813259446155,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.7684472857297647,0.7684627648870794,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.7684627648870794,0.7684472857297647,0.01475682522242061,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.9088122842592448,0.9087968051019301,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.7684472857297647,0.7684627648870794,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.9087968051019301,0.9088122842592448,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.7684627648870794,0.7684472857297647,0.01475682522242061,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.7684472857297647,0.7684627648870794,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.7684627648870794,0.7684472857297647,0.01475682522242061,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.9087813259446155,0.9087658467873008,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.9087658467873008,0.9087813259446155,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.9088122842592448,0.9087968051019301,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.9087968051019301,0.9088122842592448,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.7684472857297647,0.7684627648870794,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.7684627648870794,0.7684472857297647,0.01475682522242061,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.9087813259446155,0.9087658467873008,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.9087658467873008,0.9087813259446155,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.9087813259446155,0.9087658467873008,0.003799844343725679,1.0,0.0,0.0,1.0,1.0
0.0,0.0,0.288135593220339,0.0,0.9087658467873008,0.9087813259446155,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.9087658467873008,0.9087813259446155,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.7684472857297647,0.7684627648870794,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.7684627648870794,0.7684472857297647,0.01475682522242061,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0006426735218508992,0.9088122842592448,0.9087968051019301,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.9087968051019301,0.9088122842592448,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.9088122842592448,0.9087968051019301,0.003799844343725679,1.0,0.0,0.0,1.0,1.0
0.0,0.0,0.288135593220339,0.0,0.9087968051019301,0.9088122842592448,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.0,0.9087968051019301,0.9088122842592448,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.288135593220339,0.007712082262210793,0.9087503676299861,0.43559896599229136,1.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.288135593220339,0.0,0.43559896599229136,0.9087503676299861,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.007712082262210793,0.9087503676299861,0.43559896599229136,1.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.3050847457627119,0.0,0.43559896599229136,0.9087503676299861,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.007712082262210793,0.9088432425738742,0.9088277634165595,1.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.3050847457627119,0.007712082262210793,0.9088277634165595,0.9088432425738742,1.0,1.0,0.0,1.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.0,0.9088432425738742,0.9088277634165595,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.007712082262210793,0.9088742008885035,0.9088587217311888,1.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.3050847457627119,0.007712082262210793,0.9088587217311888,0.9088742008885035,1.0,1.0,0.0,1.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.0,0.9088742008885035,0.9088587217311888,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.0006426735218508992,0.7684472857297647,0.7684627648870794,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.0,0.7684627648870794,0.7684472857297647,0.01475682522242061,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.0006426735218508992,0.7684472857297647,0.7684627648870794,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.0,0.7684627648870794,0.7684472857297647,0.01475682522242061,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.0006426735218508992,0.9088432425738742,0.9088277634165595,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.0,0.9088277634165595,0.9088432425738742,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.0006426735218508992,0.9088742008885035,0.9088587217311888,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.0,0.9088587217311888,0.9088742008885035,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.0006426735218508992,0.7684472857297647,0.7684627648870794,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.0,0.7684627648870794,0.7684472857297647,0.01475682522242061,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.0006426735218508992,0.7684472857297647,0.7684627648870794,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.0,0.7684627648870794,0.7684472857297647,0.01475682522242061,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.0006426735218508992,0.9088432425738742,0.9088277634165595,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.0,0.9088277634165595,0.9088432425738742,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.3050847457627119,0.0006426735218508992,0.9088742008885035,0.9088587217311888,0.003799844343725679,1.0,0.0,0.0,1.0,0.0
